imagem,classe,cod_endereco,lat_geodesica,long_geodesica,data
data/no_defect/0011869-000593-085ECE0230D0-0327.7186S-03915.8918W-20180821145825499.jpg,no_defect,085ECE0230D0,"03º27'71,86""","039º15'89,18""",2018-08-21 14:58:25
data/no_defect/0002581-000129-025ECE0030D0-0349.7572S-03824.6944W-20180913103743171.jpg,no_defect,025ECE0030D0,"03º49'75,72""","038º24'69,44""",2018-09-13 10:37:43
data/no_defect/0005937-000296-040ECE0150D0-0359.9735S-03819.9503W-20180904093140665.jpg,no_defect,040ECE0150D0,"03º59'97,35""","038º19'95,03""",2018-09-04 09:31:40
data/no_defect/0003068-000153-040ECE0290D0-0423.0025S-03753.9679W-20180904122646797.jpg,no_defect,040ECE0290D0,"04º23'00,25""","037º53'96,79""",2018-09-04 12:26:46
data/no_defect/0002289-000114-040ECE0070D0-0352.8052S-03827.5575W-20180904091316623.jpg,no_defect,040ECE0070D0,"03º52'80,52""","038º27'55,75""",2018-09-04 09:13:16
data/no_defect/0005722-000286-040ECE0348D0-0433.0074S-03747.9001W-20180904124137258.jpg,no_defect,040ECE0348D0,"04º33'00,74""","037º47'90,01""",2018-09-04 12:41:37
data/no_defect/0002405-000120-040ECE0150D0-0358.5569S-03821.2348W-20180904092909433.jpg,no_defect,040ECE0150D0,"03º58'55,69""","038º21'23,48""",2018-09-04 09:29:09
data/no_defect/0008618-000430-085ECE0570S0-0302.5494S-04112.7791W-20180824105500526.jpg,no_defect,085ECE0570S0,"03º02'54,94""","041º12'77,91""",2018-08-24 10:55:00
data/no_defect/0004831-000241-010ECE0020E0-0350.7473S-03826.2869W-20180913111559761.jpg,no_defect,010ECE0020E0,"03º50'74,73""","038º26'28,69""",2018-09-13 11:15:59
data/no_defect/0004789-000239-040ECE0320D0-0427.0220S-03748.8035W-20180904123409761.jpg,no_defect,040ECE0320D0,"04º27'02,20""","037º48'80,35""",2018-09-04 12:34:09
data/no_defect/0002718-000135-040ECE0348D0-0431.3772S-03747.9820W-20180904123956830.jpg,no_defect,040ECE0348D0,"04º31'37,72""","037º47'98,20""",2018-09-04 12:39:56
data/no_defect/0002322-000116-040ECE0150D0-0358.5155S-03821.2651W-20180904092905866.jpg,no_defect,040ECE0150D0,"03º58'51,55""","038º21'26,51""",2018-09-04 09:29:05
data/no_defect/0007957-000397-040ECE0150D0-0400.8803S-03819.3200W-20180904093315919.jpg,no_defect,040ECE0150D0,"04º00'88,03""","038º19'32,00""",2018-09-04 09:33:15
data/no_defect/0003613-000180-040ECE0348D0-0431.8651S-03747.9655W-20180904124031573.jpg,no_defect,040ECE0348D0,"04º31'86,51""","037º47'96,55""",2018-09-04 12:40:31
data/no_defect/0006848-000342-040ECE0348D0-0433.5765S-03747.6924W-20180904124217682.jpg,no_defect,040ECE0348D0,"04º33'57,65""","037º47'69,24""",2018-09-04 12:42:17
data/no_defect/0001744-000087-085ECE0570S0-0301.6229S-04109.6908W-20180824105129767.jpg,no_defect,085ECE0570S0,"03º01'62,29""","041º09'69,08""",2018-08-24 10:51:29
data/no_defect/0002850-000142-040ECE0310D0-0424.7399S-03750.8760W-20180904123055619.jpg,no_defect,040ECE0310D0,"04º24'73,99""","037º50'87,60""",2018-09-04 12:30:55
